birthYear, deathYear, genre 
1968,2008,Contemporary R&B
1882,1951,Essay
1882,1951,Noha
1882,1951,Biography
1882,1951,Novel
1882,1951,Ghazal
1882,1951,Nazm
1882,1951,Ruba'i
1882,1951,Translations
1882,1951,Qat'aa
1882,1951,Salaam_(poetry)
1926,2013,Carnatic music
1957,2014,Romani music
1919,1984,Sean-nós song
1968,1999,Russian chanson
1973,2007,Norteño (music)
1973,2007,Latin pop
1973,2007,Duranguense
1968,2011,Grindcore
1968,2011,Hardcore punk
1968,2001,Folk music
1889,1965,Folk music
1919,1959,Jazz
1924,1997,Folk music
1916,1992,Tabla
1921,1990,Chicago blues
1938,2012,Hindustani classical music
1938,2011,Assyrian pop music
1979,2014,Nu metal
1979,2014,Progressive metal
1979,2014,Thrash metal
1979,2014,Hard rock
1979,2014,Industrial metal
1979,2014,Experimental music
1979,2014,Acoustic music
1924,1999,Carnatic music
1953,1984,Country music
1929,2001,Hindustani classical music
1928,2010,Country music
1862,1937,Old-time music
1906,1960,Big band
1906,1960,Swing music
1906,1960,Orchestral jazz
1944,2006,Jazz
1931,2010,Country music
1931,2010,Rockabilly
1936,2005,Disco
1936,2005,Rhythm and blues
1936,2005,Popular music
1934,2002,Bebop
1934,2002,Hard bop
1934,2002,Soul jazz
1934,2002,Twelve-bar blues
1914,2006,Indian_classical_and_Folk_music
1971,1995,House music
1953,2011,Maskanda
1925,2010,Middle Eastern music
1925,2010,Shashmaqam
1910,1982,Hard rock
1910,1982,Delta blues
1920,1991,Country music
1922,1993,Classical music
1988,1982,Pop music
1988,1982,Bollywood
1988,1982,Indian classical music
1988,1982,Playback singer
1993,2015,Afrobeat
1993,2015,Trip hop
1993,2015,Contemporary R&B
1993,2015,Alternative hip hop
1900,1974,Hindustani classical music
1926,2011,Indian classical music
1935,2008,Singer-songwriter
1935,2008,Chanson
1935,2008,Persian traditional music
1921,1994,Country music
1921,1994,Pop music
1910,1951,Bebop
1910,1951,Jazz
1898,1988,Old-time music
1907,1973,Jazz
1923,1970,Country blues
1870,1941,Children's music
1911,1994,Louisiana blues
1911,1994,Swamp blues
1921,1967,Bebop
1873,1951,Concert band
1972,2006,Heavy metal music
1972,2006,Pop music
1972,2006,Rock music
1955,1998,New-age music
1964,1989,Pop music
1933,1988,Film score
1933,1988,Indian classical music
1940,2009,Free jazz
1940,2009,Avant-garde jazz
1940,2009,Jazz
1880,1950,Taarab
1955,1975,Schlager music
1923,1994,Country music
1915,1968,Country music
1915,1968,Rockabilly
1915,1968,Honky-tonk
1946,1975,Country music
1946,1975,Folk music
1934,2003,Rock music
1934,2003,Country rock
1934,2003,Folk rock
1946,2009,Pop music
1946,2009,Rock music
1946,2009,Soul music
1946,2009,Hip hop music
1946,2009,Jazz
1944,2003,Disco
1944,2003,Funk
1944,2003,Rhythm and blues
1944,2003,Soul music
1907,1969,Jazz
